tau_confidence,tau_entropy,total_cases,accepted_cases,reviewed_cases,acceptance_rate,review_rate,total_errors,reviewed_errors,accepted_errors,error_capture_rate,accepted_accuracy,accepted_macro_f1,missed_referable,missed_referable_rate,missed_urgent,missed_urgent_rate
0.7,0.7424,549,312,237,0.5683060109289617,0.43169398907103823,96,86,10,0.8958333333333334,0.967948717948718,0.8937240940723555,7,0.03139013452914798,2,0.0273972602739726
0.7,0.8544,549,343,206,0.6247723132969034,0.37522768670309653,96,74,22,0.7708333333333334,0.9358600583090378,0.7467130823586074,11,0.04932735426008968,8,0.1095890410958904
0.7,0.9664,549,347,202,0.6320582877959927,0.3679417122040073,96,74,22,0.7708333333333334,0.9365994236311239,0.7497483127109111,11,0.04932735426008968,8,0.1095890410958904
0.7,1.0785,549,347,202,0.6320582877959927,0.3679417122040073,96,74,22,0.7708333333333334,0.9365994236311239,0.7497483127109111,11,0.04932735426008968,8,0.1095890410958904
0.7,1.1905,549,347,202,0.6320582877959927,0.3679417122040073,96,74,22,0.7708333333333334,0.9365994236311239,0.7497483127109111,11,0.04932735426008968,8,0.1095890410958904
0.7,1.3026,549,347,202,0.6320582877959927,0.3679417122040073,96,74,22,0.7708333333333334,0.9365994236311239,0.7497483127109111,11,0.04932735426008968,8,0.1095890410958904
0.75,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.75,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.75,0.2942,549,130,419,0.23679417122040072,0.7632058287795993,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.75,0.4062,549,183,366,0.3333333333333333,0.6666666666666666,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.75,0.5183,549,226,323,0.4116575591985428,0.5883424408014571,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.75,0.6303,549,269,280,0.4899817850637523,0.5100182149362478,96,93,3,0.96875,0.9888475836431226,0.9512781954887217,3,0.013452914798206279,0,0.0
0.75,0.7424,549,301,248,0.5482695810564663,0.4517304189435337,96,89,7,0.9270833333333334,0.9767441860465116,0.9108794488764381,5,0.02242152466367713,2,0.0273972602739726
0.75,0.8544,549,317,232,0.5774134790528234,0.4225865209471767,96,82,14,0.8541666666666666,0.9558359621451105,0.8243545727863447,9,0.04035874439461883,7,0.0958904109589041
0.75,0.9664,549,317,232,0.5774134790528234,0.4225865209471767,96,82,14,0.8541666666666666,0.9558359621451105,0.8243545727863447,9,0.04035874439461883,7,0.0958904109589041
0.75,1.0785,549,317,232,0.5774134790528234,0.4225865209471767,96,82,14,0.8541666666666666,0.9558359621451105,0.8243545727863447,9,0.04035874439461883,7,0.0958904109589041
0.75,1.1905,549,317,232,0.5774134790528234,0.4225865209471767,96,82,14,0.8541666666666666,0.9558359621451105,0.8243545727863447,9,0.04035874439461883,7,0.0958904109589041
0.75,1.3026,549,317,232,0.5774134790528234,0.4225865209471767,96,82,14,0.8541666666666666,0.9558359621451105,0.8243545727863447,9,0.04035874439461883,7,0.0958904109589041
0.8,0.0701,549,0,549,0.0,1.0,96,96,0,1.0,,,0,0.0,0,0.0
0.8,0.1821,549,58,491,0.10564663023679417,0.8943533697632058,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.8,0.2942,549,130,419,0.23679417122040072,0.7632058287795993,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.8,0.4062,549,183,366,0.3333333333333333,0.6666666666666666,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.8,0.5183,549,226,323,0.4116575591985428,0.5883424408014571,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.8,0.6303,549,261,288,0.47540983606557374,0.5245901639344263,96,95,1,0.9895833333333334,0.9961685823754789,0.982174688057041,1,0.004484304932735426,0,0.0
0.8,0.7424,549,272,277,0.49544626593806923,0.5045537340619308,96,94,2,0.9791666666666666,0.9926470588235294,0.9826733407489803,1,0.004484304932735426,0,0.0
0.8,0.8544,549,272,277,0.49544626593806923,0.5045537340619308,96,94,2,0.9791666666666666,0.9926470588235294,0.9826733407489803,1,0.004484304932735426,0,0.0
0.8,0.9664,549,272,277,0.49544626593806923,0.5045537340619308,96,94,2,0.9791666666666666,0.9926470588235294,0.9826733407489803,1,0.004484304932735426,0,0.0
0.8,1.0785,549,272,277,0.49544626593806923,0.5045537340619308,96,94,2,0.9791666666666666,0.9926470588235294,0.9826733407489803,1,0.004484304932735426,0,0.0
