epoch,train_loss,train_accuracy,train_macro_f1,train_macro_precision,train_macro_recall,val_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,learning_rate,epoch_time_seconds
1,0.6911947285924347,0.5973468591494343,0.4383620912924931,0.4432111068283723,0.4755158419084445,0.5329000847532884,0.7304189435336976,0.5323137285918798,0.6873585755642206,0.6141213046613225,2.716957077380419e-05,139.2747302055359
2,0.4578905225939644,0.7264923917284433,0.5765741441429011,0.5713066431356222,0.6288631850952259,0.3995809011663461,0.7814207650273224,0.6110912621921124,0.6688447752963882,0.6656576401500691,1.969089336749307e-05,91.45189309120178
3,0.3521323928110217,0.7799453765119001,0.6480645337043878,0.6351355808702135,0.6933609399372547,0.3947439714451957,0.7632058287795993,0.6036915247123041,0.647919468500958,0.6441821960539353,1.0420454132401052e-05,92.02112293243408
4,0.3075329730497223,0.8170113148653921,0.705293998235455,0.6861021242932537,0.748496032514721,0.3708509858460157,0.7832422586520947,0.6261813891435193,0.6574866011709887,0.6620609839327234,2.8992457656927023e-06,92.61363577842712
5,0.2856251142520807,0.8248146703082325,0.7162388420688178,0.7012101785243924,0.7600155349257333,0.3718246696398123,0.7941712204007286,0.6427666511020226,0.6696564934114342,0.6709220079661611,1.1422698053265011e-10,91.95099449157716
6,0.3383318383248114,0.7916504096761607,0.6654293111569759,0.6511055808297519,0.7119720219111879,0.4044334180313815,0.8233151183970856,0.6721435888557041,0.7157492191859244,0.670911558645367,2.927486535150267e-05,91.8928451538086
7,0.2931656162848625,0.8064767850175576,0.6839407120449564,0.6720981486257105,0.7300206285337077,0.3837707262547289,0.8051001821493625,0.6517215410264774,0.67223564143854,0.6617475043088988,2.715243598033736e-05,91.98526287078856
8,0.2623866836638874,0.8283261802575107,0.7210442373856523,0.7059337090434721,0.7637676697393496,0.4232787958096937,0.8123861566484517,0.6561205210829271,0.6960228618810708,0.6601986296351992,2.384044150441639e-05,92.07419180870056
9,0.2060006629709057,0.8626609442060086,0.7748210699150181,0.7541609852187484,0.8191776247315555,0.3366335993174646,0.8178506375227687,0.6773187314379753,0.6842057757117114,0.7030662085931204,1.966308301906531e-05,91.95656871795654
10,0.1898558642533529,0.8630511119781507,0.7772201509144099,0.7570666614426795,0.8175911808019581,0.3311159396730703,0.8214936247723132,0.678008999414864,0.6670362134914944,0.6962323527937474,1.50292694781983e-05,92.09594678878784
11,0.1604981238238289,0.8876316816230979,0.8210423107329273,0.7987533535924615,0.8625666912357405,0.3760466178529684,0.8233151183970856,0.6756955590147041,0.6836346384243063,0.6831647175405924,1.039259083687279e-05,91.76067852973938
12,0.1458132559243899,0.906749902458057,0.8430889709844684,0.8210098154393302,0.8772756545639687,0.3551057291527589,0.8142076502732241,0.6753619887067797,0.684166384336488,0.6997830319995989,6.2069175061414354e-06,91.91129732131958
13,0.1157397038411963,0.9153335934451814,0.8643143256820508,0.8388668071503922,0.9043736452358349,0.3510762611726377,0.825136612021858,0.6914798843679881,0.7012556201284065,0.7125957038253767,2.881972354917153e-06,92.29777646064758
14,0.1163493678630723,0.9196254389387436,0.8690557488761532,0.848740450854884,0.9009154775920212,0.3415693611598731,0.8233151183970856,0.6897214333480075,0.6942395125764367,0.7112143036163905,7.432241808568546e-07,92.77182745933531
15,0.1143964625549093,0.9172844323058916,0.8621380993060141,0.8375467513273958,0.8993962764750292,0.341695673363402,0.8233151183970856,0.6870443690498117,0.6910258265718126,0.7060129170570703,2.8556772316834512e-11,92.20388293266296
16,0.1665237887304274,0.8759266484588373,0.7947604271325714,0.7728164253070033,0.8366739128595734,0.4027816889933115,0.8160291438979964,0.6539368591534512,0.6833056990632614,0.6574432401377306,2.981760743629922e-05,92.54542875289916
17,0.1591164101114321,0.8852906749902458,0.8090340997955036,0.7864390015796942,0.8451778674123132,0.4089356149955634,0.825136612021858,0.6769027280139459,0.6788907963285548,0.6910437907513872,2.9270363339891884e-05,92.54738783836363
18,0.1503051895396787,0.8868513460788139,0.81002263642816,0.7896073577305353,0.848517516180333,0.3669067266208878,0.8142076502732241,0.6711359979490272,0.6765485511997976,0.6939382526113663,2.837173553743578e-05,91.9319875240326
19,0.1116342397389982,0.9192352711666016,0.8689977980750445,0.8472332978251519,0.8994796366114889,0.402488222159106,0.8287795992714025,0.6848527320590666,0.6889358417255097,0.6849452818039152,2.7143851227802076e-05,91.8491144180298
20,0.0867123901814954,0.9395239953179868,0.9012952878604216,0.8812348786995077,0.9283006950580448,0.3875109942830108,0.7959927140255009,0.65556895927211,0.6736147790741092,0.6930161443934189,2.5616944997808328e-05,92.02040815353394
21,0.0666043341539181,0.9434256730394069,0.9122699571836668,0.8954652636498223,0.9337466250869193,0.44077783844727203,0.8233151183970856,0.6736568309032728,0.6878547895319641,0.6691432482349902,2.382861434634824e-05,94.59355521202087
